TIME,PHASE
00:02:44, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:45, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:46, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM SFAGE 2 
00:02:47, SES 1 SECOND ENGINE STARTUP 1
00:02:48, SES 1 SECOND ENGINE STARTUP 1
00:02:49, SES 1 SECOND ENGINE STARTUP 1
00:02:50, SES 1 SECOND ENGINE STARTUP 1
00:02:51, SES 1 SECOND ENGINE STARTUP 1
00:02:52, SES 1 SECOND ENGINE STARTUP 1
00:02:53, SES 1 SECOND ENGINE STARTUP 1
00:03:11, FAIRING DEPLOY 
00:03:11, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE IOP OF THE ROCKET HAS BEEN DEPLDYED 
00:03:13, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED 
00:03:14, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED 
00:03:15, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED 
00:03:16, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED 
00:03:17, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED 
00:06:48, STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:49, STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:50, STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:51, STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE 
00:06:52, STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ERTRY INTO THE ATMOSPHERE 
00:06:53, STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ERTRY INTO THE ATMOSPHERE 
00:06:54, STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOX ENTRY INTO THE ATMOSPHERE 
00:08:28, STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA 
00:08:29, STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA 
00:08:30, STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA 
00:08:31, STAGE LANDING STAGE HAS BEGUN ITS LANDING BURN SLOWING IT DR TOUCHDDWN AT SEA 
00:08:31, STAGE 1 LANDING STAGE 1 HAS BEGUN IT'S LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:32, STAGE 1 LANDING STAGE 1 HAS BEGUN IT'S LANDING BURN SLOWING IT FOR TOUCHODWN AT SEA 
00:08:33, STAGE LANDING 
00:08:58, SECO 1 SECOND ENGINE CUTOFF 1 
00:08:59, SECO 1 SECOND ENGINE CUTOFF 1 
00:09:00, SECO 1 SECOND ENGINE CUTOFF 1 
00:09:01, SECO 1 SECOND ENGINE CUTOFF 1
00:09:02, SECD 1 SECONO ENGINE CUTOFF 1 
00:09:03, SECD 1 SECONO ENGINE CUTOFF 1 
00:09:04, SECO 1 SECONO ENGINE CUTOFF 1
